created_at,text
Tue Nov 09 23:04:44 +0000 2021,"NSW #stratatitle has been on a long &amp; slow descent into building defect hell. But, hot on the heels of a NSW Buildi… https://t.co/Jr4MFr6GRB"
Tue Nov 09 09:30:48 +0000 2021,"Not every building defect is as a result of the client(s) financial tight handedness, this is poor workmanship from… https://t.co/NtNmIOQ4dY"
Mon Nov 08 21:22:01 +0000 2021,See how ALM Octane helps Nationwide Building Society achieve up to 90% defect reduction to deliver reliable member… https://t.co/QZiC8RkNdP
Mon Nov 08 16:12:22 +0000 2021,@KnittelMIT @JesseJenkins @Stanford @MIT immediately natural gas in the building sector comes to mind. For an equit… https://t.co/q8zI90h03x
Mon Nov 08 11:52:10 +0000 2021,"RT @newsinhousing: A new report has identified structural defect as a major cause of incessant building collapse in Nigeria.

The report sa…"
Mon Nov 08 11:52:09 +0000 2021,"RT @newsinhousing: A new report has identified structural defect as a major cause of incessant building collapse in Nigeria.

The report sa…"
Mon Nov 08 11:37:54 +0000 2021,"A new report has identified structural defect as a major cause of incessant building collapse in Nigeria.

The repo… https://t.co/8wLgPHZm3E"
Mon Nov 08 11:36:56 +0000 2021,"A new report has identified structural defect as a major cause of incessant building collapse in Nigeria.

The repo… https://t.co/iO3Kk28004"
Mon Nov 08 11:15:41 +0000 2021,"RT @MobilePunch: Structural defect, major cause of building collapse in Nigeria –Reports - Punch Newspapers https://t.co/PdkLdPOwin"
Mon Nov 08 09:53:14 +0000 2021,"RT @MobilePunch: Structural defect, major cause of building collapse in Nigeria –Reports - Punch Newspapers https://t.co/PdkLdPOwin"
Mon Nov 08 09:42:04 +0000 2021,"RT @MobilePunch: Structural defect, major cause of building collapse in Nigeria –Reports - Punch Newspapers https://t.co/PdkLdPOwin"
Mon Nov 08 09:22:01 +0000 2021,See how ALM Octane helps Nationwide Building Society achieve up to 90% defect reduction to deliver reliable member… https://t.co/EBZpsg1SRQ
Mon Nov 08 09:18:35 +0000 2021,"RT @MobilePunch: Structural defect, major cause of building collapse in Nigeria –Reports - Punch Newspapers https://t.co/PdkLdPOwin"
Mon Nov 08 09:16:45 +0000 2021,"Structural defect, major cause of building collapse in Nigeria –Reports - Punch Newspapers https://t.co/PdkLdPOwin"
Mon Nov 08 08:36:04 +0000 2021,"building 100 tables: 1/100

pine legs, oak apron, birch plywood top with branch defect aesthetics and oak border

(… https://t.co/6fVa5QtzQf"
